duration,voicing,word,segment,speed,participant,
123.44,Vd,cud,ʌ,fast,Alex,
126.07,Vd,mug,ʌ,fast,Alex,
81.69,Vd,piggy,I,fast,Alex,
270.59,Vd,rise,aI,fast,Alex,
187.55,Vd,aid,eI,fast,Alex,
160.02,Vd,burden,ɜ:ʳ,fast,Alex,
224.01,Vd,badge,æ,fast,Alex,
101.76,Vd,bigger,I,fast,Alex,
192.92,Vd,bug,ʌ,fast,Alex,
100.72,Vd,nibble,I,fast,Alex,
206.82,Vd,leave,i,fast,Alex,
184,Vd,serve,ɜ:ʳ,fast,Alex,
94.93,Vd,fuzzy,ʌ,fast,Alex,
70.36,Vl,bicker,I,fast,Alex,
129.17,Vl,leaf,i,fast,Alex,
69.6,Vl,nipple,I,fast,Alex,
139.37,Vl,surf,ɜ:ʳ,fast,Alex,
128.44,Vl,cut,ʌ,fast,Alex,
88.75,Vl,fussy,ʌ,fast,Alex,
103.94,Vl,muck,ʌ,fast,Alex,
160.43,Vl,burton,ɜ:ʳ,fast,Alex,
164.54,Vl,buck,ʌ,fast,Alex,
190.4,Vl,rice,aI,fast,Alex,
162.91,Vl,eight,eI,fast,Alex,
167.91,Vl,batch,æ,fast,Alex,
58.37,Vl,picky,I,fast,Alex,
168.14,Vd,cud,ʌ,normal,Alex,
236.97,Vd,mug,ʌ,normal,Alex,
123.47,Vd,piggy,I,normal,Alex,
393.92,Vd,rise,aI,normal,Alex,
346.13,Vd,aid,eI,normal,Alex,
204.76,Vd,burden,ɜ:ʳ,normal,Alex,
266.43,Vd,badge,æ,normal,Alex,
141.44,Vd,bigger,I,normal,Alex,
260.73,Vd,bug,ʌ,normal,Alex,
81.29,Vd,nibble,I,normal,Alex,
288.55,Vd,leave,i,normal,Alex,
274.23,Vd,serve,ɜ:ʳ,normal,Alex,
119.79,Vd,fuzzy,ʌ,normal,Alex,
65.49,Vl,bicker,I,normal,Alex,
184.37,Vl,leaf,i,normal,Alex,
80.86,Vl,nipple,I,normal,Alex,
194.7,Vl,surf,ɜ:ʳ,normal,Alex,
143.42,Vl,cut,ʌ,normal,Alex,
92.84,Vl,fussy,ʌ,normal,Alex,
